Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Jamie Benn,DAL,25,F,82,35,52,87,64,1,19:56,14:54,3:34,1:28,23,10,2,6,0,36,13,3,10,1,59,23,5,16,1,26.4%,1.284,1.907,3.191,1.129,1.768,2.897,2.051,2.667,4.718,0.427,0.634,1.061,253,13.8%,120,50,298,278,51.74%
John Tavares,NYI,24,F,82,38,48,86,46,5,20:40,16:56,3:42,0:01,25,13,0,8,4,29,18,1,1,0,54,31,1,9,4,36.0%,1.345,1.699,3.044,1.08,1.253,2.333,2.569,3.557,6.126,0.463,0.585,1.049,278,13.7%,48,37,753,689,52.22%
Sidney Crosby,PIT,27,F,77,28,56,84,47,5,19:58,15:59,3:36,0:22,18,10,0,3,1,35,21,0,11,2,53,31,0,14,3,36.9%,1.093,2.185,3.278,0.877,1.705,2.582,2.158,4.531,6.689,0.364,0.727,1.091,237,11.8%,66,29,797,800,49.91%
Alexander Ovechkin,WSH,29,F,81,53,28,81,58,10,20:19,16:29,3:49,0:01,28,25,0,11,0,19,9,0,7,1,47,34,0,18,1,42.0%,1.931,1.02,2.952,1.258,0.853,2.111,4.85,1.746,6.596,0.654,0.346,1.0,395,13.4%,259,32,2,3,40.00%
Jakub Vorácek,PHI,25,F,82,22,59,81,78,1,18:35,15:17,3:15,0:02,11,11,0,3,2,37,22,0,8,2,48,33,0,11,4,40.7%,0.866,2.322,3.188,0.526,1.77,2.297,2.465,4.93,7.395,0.268,0.72,0.988,221,10.0%,55,28,6,3,66.67%
Nicklas Bäckström,WSH,27,F,82,18,60,78,40,5,20:31,16:28,3:05,0:57,15,3,0,3,1,30,30,0,14,0,45,33,0,17,1,42.3%,0.642,2.138,2.78,0.666,1.333,1.999,0.709,7.085,7.794,0.22,0.732,0.951,153,11.8%,91,52,862,747,53.57%
Tyler Seguin,DAL,22,F,71,37,40,77,20,-1,19:33,15:37,3:51,0:03,24,13,0,5,0,24,16,0,6,0,48,29,0,11,0,37.7%,1.599,1.729,3.328,1.297,1.297,2.595,2.843,3.499,6.342,0.521,0.563,1.085,280,13.2%,63,26,275,236,53.82%
Jirí Hudler,CGY,30,F,78,31,45,76,14,17,18:00,14:59,2:58,0:02,25,6,0,5,1,35,10,0,9,2,60,16,0,14,3,21.1%,1.324,1.922,3.246,1.283,1.796,3.079,1.549,2.582,4.131,0.397,0.577,0.974,158,19.6%,27,14,21,25,45.65%
Daniel Sedin,VAN,34,F,82,20,56,76,18,5,18:21,14:37,3:00,0:43,16,4,0,5,3,35,21,0,11,2,51,25,0,16,5,32.9%,0.797,2.232,3.029,0.801,1.751,2.552,0.975,5.118,6.093,0.244,0.683,0.927,226,8.9%,21,16,2,3,40.00%
Vladimir Tarasenko,STL,23,F,77,37,36,73,31,27,17:37,14:50,2:38,0:08,29,8,0,6,2,26,10,0,4,0,55,18,0,10,2,24.7%,1.636,1.592,3.227,1.522,1.365,2.887,2.357,2.946,5.302,0.481,0.468,0.948,264,14.0%,32,18,0,3,0.00%
Nick Foligno,CBJ,27,F,79,31,42,73,50,16,18:49,14:57,2:31,1:20,20,11,0,3,1,27,15,0,9,1,47,26,0,12,2,35.6%,1.25,1.694,2.944,1.016,1.371,2.387,3.303,4.504,7.807,0.392,0.532,0.924,182,17.0%,193,52,125,138,47.53%
Claude Giroux,PHI,26,F,81,25,48,73,36,-3,20:33,16:29,3:18,0:45,11,14,0,4,2,25,23,0,4,1,36,37,0,8,3,50.7%,0.9,1.729,2.629,0.494,1.122,1.616,3.139,5.157,8.296,0.309,0.593,0.901,279,9.0%,110,28,1063,815,56.60%
Henrik Sedin,VAN,34,F,82,18,55,73,22,11,18:36,14:48,2:58,0:49,13,5,0,0,0,35,20,0,18,5,48,25,0,18,5,34.2%,0.708,2.162,2.87,0.642,1.728,2.37,1.229,4.914,6.143,0.22,0.671,0.89,101,17.8%,25,24,704,861,44.98%
Steven Stamkos,TBL,24,F,82,43,29,72,49,2,19:22,15:36,3:33,0:12,30,13,0,6,0,17,12,0,6,0,47,25,0,12,0,34.7%,1.625,1.096,2.72,1.406,0.797,2.203,2.679,2.473,5.152,0.524,0.354,0.878,268,16.0%,91,35,469,474,49.73%
Tyler Johnson,TBL,24,F,77,29,43,72,24,33,17:14,13:13,2:14,1:45,21,8,0,6,2,34,9,0,7,1,55,17,0,13,3,23.6%,1.311,1.944,3.255,1.237,2.002,3.239,2.773,3.12,5.893,0.377,0.558,0.935,203,14.3%,64,36,537,566,48.69%
