Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Steve Sullivan,NSH,31,F,69,31,37,68,50,2,19:05,10:33,5:32,2:59,14,13,4,5,1,16,21,0,4,0,30,34,4,9,1,50.0%,1.412,1.685,3.097,1.153,1.318,2.471,2.037,3.29,5.327,0.449,0.536,0.986,192,16.2%,26,18,22,20,52.38%
Jarret Stoll,EDM,23,F,82,22,46,68,74,4,18:22,10:53,5:00,2:28,10,11,1,4,1,25,20,1,6,1,35,31,2,10,2,45.6%,0.876,1.832,2.708,0.672,1.68,2.353,1.607,2.922,4.529,0.268,0.561,0.829,243,9.1%,71,47,765,583,56.75%
Bryan McCabe,TOR,30,D,73,19,49,68,116,-1,28:17,16:26,7:28,4:22,6,13,0,6,1,13,32,4,8,3,19,45,4,14,4,66.2%,0.552,1.423,1.975,0.3,0.65,0.949,1.428,3.516,4.945,0.26,0.671,0.932,207,9.2%,109,139,0,1,0.00%
Jarome Iginla,CGY,28,F,82,35,32,67,86,5,21:41,13:27,5:24,2:50,17,17,1,6,0,16,14,2,8,1,33,31,3,14,1,46.3%,1.181,1.079,2.26,0.925,0.87,1.795,2.303,1.896,4.199,0.427,0.39,0.817,293,12.0%,105,30,293,248,54.16%
Chris Drury,BUF,29,F,81,30,37,67,32,-11,18:05,10:00,4:49,3:16,12,16,2,5,1,16,21,0,8,1,28,37,2,13,2,55.2%,1.228,1.514,2.742,0.889,1.185,2.074,2.459,3.227,5.686,0.37,0.457,0.827,172,17.4%,31,86,911,730,55.51%
Lubomir Visnovsky,LAK,29,D,80,17,50,67,50,7,23:16,14:49,7:03,1:23,7,10,0,3,1,19,31,0,9,2,26,41,0,12,3,61.2%,0.548,1.612,2.16,0.354,0.962,1.316,1.062,3.292,4.354,0.213,0.625,0.838,152,11.2%,49,116,1,0,100.00%
Tomas Kaberle,TOR,27,D,82,9,58,67,46,-1,27:58,16:00,7:28,4:28,3,6,0,2,2,13,45,0,12,4,16,51,0,14,6,76.1%,0.235,1.517,1.753,0.137,0.594,0.731,0.587,4.402,4.989,0.11,0.707,0.817,163,5.5%,55,143,0,0,0.00%
Marian Gaborik,MIN,23,F,65,38,28,66,64,6,18:25,12:44,5:03,0:37,26,10,2,7,0,15,12,1,2,0,41,22,3,9,0,33.3%,1.903,1.402,3.306,1.883,1.086,2.969,1.826,2.191,4.017,0.585,0.431,1.015,252,15.1%,21,14,3,8,27.27%
Ryan Smyth,EDM,29,F,75,36,30,66,58,-5,20:12,12:49,5:19,2:03,15,19,2,3,1,16,12,2,7,1,31,31,4,10,2,47.0%,1.425,1.188,2.613,0.936,0.998,1.934,2.851,1.801,4.651,0.48,0.4,0.88,230,15.7%,28,37,76,83,47.80%
Miroslav Satan,NYI,31,F,82,35,31,66,54,-8,19:10,13:36,4:38,0:54,18,17,0,2,0,20,10,1,3,0,38,27,1,5,0,40.9%,1.336,1.183,2.519,0.967,1.075,2.042,2.682,1.578,4.26,0.427,0.378,0.805,253,13.8%,39,23,182,160,53.22%
Shane Doan,PHX,29,F,82,30,36,66,123,-9,19:07,12:11,5:27,1:28,13,17,0,7,0,11,24,1,5,1,24,41,1,12,1,62.1%,1.148,1.377,2.525,0.78,0.66,1.441,2.277,3.214,5.49,0.366,0.439,0.805,254,11.8%,164,23,55,71,43.65%
Alexei Yashin,NYI,32,F,82,28,38,66,68,-14,18:30,13:26,4:51,0:12,18,10,0,2,0,16,22,0,5,0,34,32,0,7,0,48.5%,1.107,1.503,2.61,0.98,0.871,1.851,1.508,3.318,4.826,0.341,0.463,0.805,253,11.1%,49,39,560,556,50.18%
Craig Conroy,LAK,34,F,78,22,44,66,78,13,19:13,11:25,4:37,3:09,14,5,3,3,0,25,16,3,6,1,39,21,6,9,1,31.8%,0.881,1.761,2.642,0.942,1.683,2.625,0.831,2.659,3.49,0.282,0.564,0.846,154,14.3%,76,49,732,697,51.22%
Mike Knuble,PHI,33,F,82,34,31,65,80,25,20:20,14:07,4:40,1:33,19,13,2,6,0,21,10,0,5,1,40,23,2,11,1,35.4%,1.223,1.115,2.337,0.985,1.088,2.073,2.037,1.567,3.603,0.415,0.378,0.793,217,15.7%,67,28,52,109,32.30%
Alexei Kovalev,MTL,32,F,69,23,42,65,76,-1,19:28,13:22,5:09,0:56,14,9,0,5,1,18,24,0,8,1,32,33,0,13,2,50.8%,1.027,1.875,2.903,0.91,1.17,2.079,1.518,4.049,5.567,0.333,0.609,0.942,206,11.2%,46,23,23,24,48.94%
Brenden Morrow,DAL,26,F,81,23,42,65,183,30,19:15,12:33,4:11,2:30,14,8,1,4,0,31,9,2,5,1,45,17,3,9,1,26.2%,0.885,1.616,2.501,0.826,1.829,2.655,1.414,1.591,3.005,0.284,0.519,0.802,146,15.8%,234,48,12,20,37.50%
David Výborný,CBJ,30,F,80,22,43,65,50,-9,20:41,12:43,4:07,3:50,15,5,2,6,1,16,27,0,5,1,31,32,2,11,2,49.2%,0.797,1.559,2.356,0.884,0.943,1.828,0.909,4.907,5.815,0.275,0.538,0.813,145,15.2%,27,34,88,204,30.14%
Mark Recchi,CAR,37,F,83,28,36,64,68,-36,20:24,12:18,5:28,2:37,15,13,0,3,0,13,21,2,2,1,28,34,2,5,1,53.1%,0.992,1.276,2.268,0.881,0.763,1.644,1.717,2.774,4.491,0.337,0.434,0.771,199,14.1%,91,50,189,204,48.09%
Mike Sillinger,NSH,34,F,79,32,31,63,63,-17,19:14,11:24,5:17,2:32,17,14,1,2,0,14,16,1,5,0,31,30,2,7,0,47.6%,1.263,1.223,2.486,1.131,0.932,2.063,2.01,2.297,4.306,0.405,0.392,0.797,211,15.2%,68,30,748,591,55.86%
Andrew Brunette,COL,32,F,82,24,39,63,48,9,15:00,11:11,3:46,0:02,13,11,0,2,0,22,17,0,5,1,35,28,0,7,1,44.4%,1.17,1.901,3.071,0.85,1.439,2.29,2.128,3.289,5.418,0.293,0.476,0.768,129,18.6%,10,26,6,12,33.33%
Scott Niedermayer,ANA,32,D,82,13,50,63,96,8,25:30,14:39,6:41,4:09,4,9,0,3,1,21,27,2,6,0,25,36,2,9,1,57.1%,0.373,1.434,1.807,0.2,1.048,1.248,0.985,2.954,3.938,0.159,0.61,0.768,181,7.2%,41,71,2,5,28.57%
Pavol Demitra,LAK,31,F,58,25,37,62,42,21,21:04,12:04,6:34,2:25,13,7,5,7,1,16,19,2,5,1,29,26,7,12,2,41.9%,1.227,1.816,3.044,1.114,1.371,2.484,1.101,2.989,4.091,0.431,0.638,1.069,184,13.6%,11,21,56,58,49.12%
Ales Kotalik,BUF,27,F,82,25,37,62,62,-3,15:33,11:50,3:33,0:09,15,10,0,5,0,19,18,0,8,2,34,28,0,13,2,45.2%,1.175,1.739,2.915,0.927,1.174,2.102,2.055,3.699,5.753,0.305,0.451,0.756,261,9.6%,74,14,12,17,41.38%
Robert Lang,DET,35,F,72,20,42,62,72,17,16:14,11:51,4:11,0:11,12,8,0,3,1,26,16,0,10,0,38,24,0,13,1,38.7%,1.026,2.154,3.18,0.844,1.828,2.672,1.588,3.175,4.763,0.278,0.583,0.861,171,11.7%,20,17,433,428,50.29%
Saku Koivu,MTL,31,F,72,17,45,62,70,1,18:31,12:13,4:35,1:43,12,5,0,4,3,23,22,0,9,1,35,27,0,13,4,43.5%,0.765,2.025,2.79,0.818,1.569,2.387,0.909,3.998,4.907,0.236,0.625,0.861,138,12.3%,41,22,759,653,53.75%
Martin St. Louis,TBL,30,F,80,31,30,61,38,-3,20:59,14:11,4:45,2:02,19,9,3,7,1,18,11,1,2,1,37,20,4,9,2,32.8%,1.108,1.072,2.18,1.004,0.951,1.954,1.419,1.735,3.154,0.388,0.375,0.763,221,14.0%,23,31,3,10,23.08%
Darcy Tucker,TOR,30,F,74,28,33,61,100,-12,17:38,12:09,5:09,0:18,10,18,0,4,0,15,18,0,7,3,25,36,0,11,3,59.0%,1.287,1.517,2.804,0.666,1.0,1.666,2.827,2.827,5.654,0.378,0.446,0.824,189,14.8%,127,26,17,12,58.62%
Mike Comrie,PHX,25,F,80,30,30,60,55,2,16:01,11:02,4:46,0:11,20,10,0,4,0,15,15,0,6,0,35,25,0,10,0,41.7%,1.405,1.405,2.809,1.358,1.018,2.376,1.569,2.353,3.922,0.375,0.375,0.75,190,15.8%,30,20,412,369,52.75%
Jason Allison,TOR,30,F,66,17,43,60,76,-18,18:41,12:00,5:40,1:00,8,9,0,2,0,13,30,0,10,0,21,39,0,12,0,65.0%,0.827,2.091,2.918,0.606,0.984,1.59,1.441,4.804,6.246,0.258,0.652,0.909,111,15.3%,76,27,439,437,50.11%
Erik Cole,CAR,27,F,60,30,29,59,54,19,19:17,12:56,4:36,1:43,24,3,3,8,0,17,11,1,6,0,41,14,4,14,0,23.7%,1.555,1.503,3.058,1.853,1.313,3.166,0.65,2.385,3.035,0.5,0.483,0.983,164,18.3%,123,29,7,12,36.84%
Marco Sturm,BOS,27,F,74,29,30,59,48,6,18:20,12:33,4:23,1:23,21,8,0,6,0,19,9,2,5,2,40,17,2,11,2,28.8%,1.282,1.326,2.608,1.356,1.227,2.584,1.475,1.66,3.135,0.392,0.405,0.797,180,16.1%,38,17,5,7,41.67%
Tomas Holmström,DET,32,F,81,29,30,59,66,14,13:58,9:30,4:27,0:00,18,11,0,8,0,17,13,0,2,0,35,24,0,10,0,40.7%,1.537,1.59,3.127,1.401,1.323,2.724,1.831,2.163,3.994,0.358,0.37,0.728,140,20.7%,46,11,0,0,0.00%
Kyle Calder,CHI,26,F,79,26,33,59,52,-4,18:23,12:30,3:24,2:27,18,6,2,6,3,26,7,0,5,1,44,13,2,11,4,22.0%,1.074,1.363,2.437,1.092,1.578,2.67,1.336,1.559,2.895,0.329,0.418,0.747,183,14.2%,40,30,6,7,46.15%
Daymond Langkow,CGY,29,F,82,25,34,59,46,2,18:06,12:01,4:17,1:48,14,11,0,7,1,14,18,2,6,0,28,29,2,13,1,49.2%,1.01,1.373,2.383,0.852,0.852,1.704,1.878,3.072,4.95,0.305,0.415,0.72,171,14.6%,60,59,535,595,47.35%
Mathieu Schneider,DET,36,D,72,21,38,59,86,33,24:30,17:02,4:54,2:33,10,11,0,4,0,20,18,0,8,1,30,29,0,12,1,49.2%,0.714,1.292,2.006,0.489,0.978,1.467,1.868,3.057,4.925,0.292,0.528,0.819,188,11.2%,90,119,1,3,25.00%
Pierre-Marc Bouchard,MIN,21,F,80,17,42,59,28,3,15:15,10:21,4:49,0:03,10,7,0,3,0,18,24,0,4,1,28,31,0,7,1,52.5%,0.836,2.065,2.901,0.724,1.303,2.026,1.087,3.727,4.814,0.213,0.525,0.738,118,14.4%,6,20,7,8,46.67%
Daniel Briere,BUF,28,F,48,25,33,58,48,3,19:04,12:43,5:25,0:55,14,11,0,4,1,15,17,1,7,1,29,28,1,11,2,48.3%,1.639,2.163,3.801,1.376,1.474,2.85,2.536,3.92,6.456,0.521,0.688,1.208,147,17.0%,10,8,262,255,50.68%
Milan Hejduk,COL,29,F,74,24,34,58,24,13,18:33,11:52,4:26,2:14,9,14,1,2,0,24,9,1,3,0,33,23,2,5,0,39.7%,1.049,1.486,2.535,0.615,1.639,2.254,2.555,1.643,4.198,0.324,0.459,0.784,221,10.9%,14,30,4,19,17.39%
Jason Williams,DET,25,F,80,21,37,58,26,4,14:55,10:57,3:56,0:01,15,6,0,4,0,19,18,0,7,0,34,24,0,11,0,41.4%,1.056,1.86,2.916,1.027,1.301,2.328,1.144,3.431,4.575,0.263,0.463,0.725,177,11.9%,94,24,16,13,55.17%
Sergei Gonchar,PIT,31,D,75,12,46,58,100,-13,24:40,15:29,7:18,1:52,4,8,0,2,1,14,30,2,3,1,18,38,2,5,2,65.5%,0.389,1.492,1.881,0.207,0.723,0.93,0.876,3.287,4.163,0.16,0.613,0.773,192,6.3%,58,88,0,0,0.00%
Jason Blake,NYI,32,F,76,28,29,57,60,0,18:46,13:28,2:50,2:27,14,12,2,2,0,19,10,0,7,2,33,22,2,9,2,38.6%,1.177,1.219,2.396,0.82,1.113,1.933,3.329,2.774,6.103,0.368,0.382,0.75,304,9.2%,66,33,65,87,42.76%
